[INFO ] [2016-03-14 15:27:23, 309] core.FileScanner  - directory scan >> D:\office\ProPlus.WW
[INFO ] [2016-03-14 15:27:23, 309] core.FileScanner  - directory scan >> D:\office\Publisher.ko-kr
[INFO ] [2016-03-14 15:27:23, 310] core.FileScanner  - directory scan >> D:\office\Rosebud.ko-kr
[INFO ] [2016-03-14 15:27:23, 310] core.FileScanner  - directory scan >> D:\office\Updates
[INFO ] [2016-03-14 15:27:23, 311] core.FileScanner  - directory scan >> D:\office\Word.ko-kr
[INFO ] [2016-03-14 15:42:44, 498] core.FileScanner  - C:\VirtualData\test is directory
[INFO ] [2016-03-14 15:42:44, 505] main.MainActivity - logger : C:\VirtualData\test
[INFO ] [2016-03-14 15:42:45, 543] main.MainActivity - scan button click
[INFO ] [2016-03-14 15:42:45, 544] core.FileScanner  - C:\VirtualData\test is directory
[INFO ] [2016-03-14 15:42:45, 545] main.MainActivity - logger : C:\VirtualData\test
[INFO ] [2016-03-14 15:42:45, 546] core.FileScanner  - directory scan >> C:\VirtualData\test\2014-10-20
[INFO ] [2016-03-14 15:42:45, 548] core.FileScanner  - directory scan >> C:\VirtualData\test\HttpLog
[INFO ] [2016-03-14 15:42:45, 549] core.FileScanner  - HttpLog_2015-09-20.txt is txt file
[DEBUG] [2016-03-14 15:42:45, 550] core.FileScanner  - >>>> httpLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-20.txt
[INFO ] [2016-03-14 15:42:45, 552] core.FileScanner  - HttpLog_2015-09-21.txt is txt file
[DEBUG] [2016-03-14 15:42:45, 553] core.FileScanner  - >>>> httpLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-21.txt
[INFO ] [2016-03-14 15:42:45, 553] core.FileScanner  - HttpLog_2015-10-21.txt is txt file
[DEBUG] [2016-03-14 15:42:45, 554] core.FileScanner  - >>>> httpLog : C:\VirtualData\test\HttpLog\HttpLog_2015-10-21.txt
[INFO ] [2016-03-14 15:42:45, 555] core.FileScanner  - directory scan >> C:\VirtualData\test\PullLog
[INFO ] [2016-03-14 15:42:45, 556] core.FileScanner  - PullLog_2015-09-20.txt is txt file
[DEBUG] [2016-03-14 15:42:45, 557] core.FileScanner  - >>>> pullLog : C:\VirtualData\test\PullLog\PullLog_2015-09-20.txt
[INFO ] [2016-03-14 15:42:45, 562] core.FileScanner  - PullLog_2015-09-21.txt is txt file
[DEBUG] [2016-03-14 15:42:45, 563] core.FileScanner  - >>>> pullLog : C:\VirtualData\test\PullLog\PullLog_2015-09-21.txt
[INFO ] [2016-03-14 15:42:45, 565] core.FileScanner  - PullLog_2015-10-21.txt is txt file
[DEBUG] [2016-03-14 15:42:45, 565] core.FileScanner  - >>>> pullLog : C:\VirtualData\test\PullLog\PullLog_2015-10-21.txt
[INFO ] [2016-03-14 15:48:35, 120] core.FileScanner  - C:\VirtualData\test is directory
[INFO ] [2016-03-14 15:48:35, 124] main.MainActivity - logger : C:\VirtualData\test
[INFO ] [2016-03-14 15:48:36, 247] main.MainActivity - scan button click
[INFO ] [2016-03-14 15:48:36, 248] core.FileScanner  - C:\VirtualData\test is directory
[INFO ] [2016-03-14 15:48:36, 249] main.MainActivity - logger : C:\VirtualData\test
[INFO ] [2016-03-14 15:48:36, 250] core.FileScanner  - directory scan >> C:\VirtualData\test\2014-10-20
[INFO ] [2016-03-14 15:48:36, 251] core.FileScanner  - directory scan >> C:\VirtualData\test\HttpLog
[INFO ] [2016-03-14 15:48:36, 252] core.FileScanner  - [HttpLog_2015-09-20.txt] is txt file
